Review,sentiment
i wa so excited when i ordered my new dell ive bought 3 previous dell and absolutely loved them after doing due diligence on different model etc i settled on this one it wa a good price and i trusted dell literally from the time i plugged it in and pushed the start button nothing happened i waited about 15 minute thinking maybe it just needed to be plugged in awhile it did turn on but then it wa just a black screen i waited and waited i finally looked at the clock and after 4 minute 38 second i did get up and functioning but really i figured from the time i turned it on till it finally came on it probably about 8 minute this wa replacing my old dell latitude e5450 which i have owned for over 5 year i wanted a new fast computer this is not what i got it took forever for a site to load when i tried to close down a page id click on the x and wait and wait and wait let me say this i use my laptop for keeping touch with friendsfamily research recipe couponing sharing photo i do not download game stream video or download music i dont watch tv show i just wanted a fast computer i tried deleting all the bloat hardware but it didnt help i love the touch screen screen size battery life but this is running like crap im going to return it,negative
literally the only thing i would say about this laptop is that i wish the touchscreen wa just a little more responsive dont get me wrong it still a great touchscreen i just wish it registered the touch just a little more accurately other than that the laptop is super fast and i havent had any issue i wa a little hesitant to by a dell because i thought gaming brand like asus might be better constructed but going forward i will definitely consider dell this ha been the best laptop ive owned so far,positive
im very happy with the performance,positive
my purchase of this laptop ha proven to be everything i had hoped for ive had no problem since it arrived and setup wa snap i had some good technical advice from my son in the selection and he came through,positive
excellent item,positive
product is used pacifically for personbusiness use only,positive
it work great right out of the box adding microsoft office professional fast quiet and responds fast,positive
so for so good still setting it up,positive
it doe a advertised quick connectivity via wifi,positive
dell product are top of the heep,positive
